timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
25000,4,119.5520226592198,53.505902184344734,89.125,24.23033996872516,0.125,0.875,1.0,0.0,23.956672604428604,6.1724617928266525,-0.03897235542535782,-0.288972370326519,260.6539771929383,153.0
50000,4,330.3727827159455,90.02798722508876,297.375,61.396126710078384,0.875,0.125,0.625,0.0,31.535360219713766,1.033151239156723,0.19464550912380219,-0.055354490876197815,360.0957609803549,319.14285714285717
75000,4,141.6988531698007,80.92274069365665,166.25,32.778613454507195,0.125,0.875,0.875,0.0,25.913705001352355,3.0592934116721153,0.06472346186637878,-0.18527653813362122,325.27598579227924,170.0
100000,4,321.64757689453654,113.05787972926478,215.375,60.33021113007976,0.75,0.25,0.25,0.0,28.79690345330164,1.4419617652893066,0.4906526729464531,0.2406526729464531,381.44767045716435,237.66666666666666
125000,4,275.69263700407464,116.34456143120576,186.625,46.57504025763156,0.625,0.375,0.375,0.0,27.501730074058287,1.8344360664486885,0.31613312661647797,0.06613312661647797,357.22220264710484,211.2
150000,4,349.15458564966684,31.204433353733883,214.125,43.288097382536925,1.0,0.0,0.0,0.0,29.01986121945083,0.6329136192798615,0.7700330018997192,0.5200330018997192,349.15458564966684,214.125
175000,4,335.7722297292785,70.1976661623395,207.625,35.40105047876404,0.875,0.125,0.125,0.0,28.604911594986334,1.0155826434493065,0.6152137666940689,0.3652137666940689,360.4338872028914,213.85714285714286
200000,4,371.81363136391155,49.40949033185615,239.125,65.57521921427332,1.0,0.0,0.0,0.0,28.972192138957325,0.640878289937973,0.7757020369172096,0.5257020369172096,371.81363136391155,239.125
225000,4,388.4328989016358,43.97822297406305,243.875,49.103048530615695,1.0,0.0,0.0,0.0,29.43362655339297,0.6435823291540146,0.8136377260088921,0.5636377185583115,388.4328989016358,243.875
250000,4,431.92676317263613,21.393339341786792,251.875,48.49081742969487,1.0,0.0,0.0,0.0,28.413312175878673,0.6469258815050125,0.6885606795549393,0.4385606348514557,431.92676317263613,251.875
275000,4,498.8180128853419,61.977451075244474,311.75,50.68961925286084,1.0,0.0,0.0,0.0,29.107068060300662,0.6457725316286087,1.1566208600997925,0.9066208451986313,498.8180128853419,311.75
300000,4,471.75980514485855,45.687943656513745,299.125,46.15039951073013,1.0,0.0,0.0,0.0,28.760323906404665,0.6412853822112083,1.0216959416866302,0.7716958224773407,471.75980514485855,299.125
325000,4,528.974937764564,127.17944785767533,309.5,32.25678223257862,1.0,0.0,0.0,0.0,28.662186901195128,0.6448151841759682,0.6991913020610809,0.4491911977529526,528.974937764564,309.5
350000,4,624.9553527483367,53.80242407921513,319.5,7.810249675906654,1.0,0.0,0.0,0.0,28.82716758542483,0.6484429314732552,1.0827041268348694,0.832704097032547,624.9553527483367,319.5
375000,4,513.0414985343814,50.13978236650164,282.25,39.30569297188386,1.0,0.0,0.0,0.0,28.26789685728363,0.6457941681146622,0.9202818870544434,0.6702818721532822,513.0414985343814,282.25
